"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "JSON with Comments", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/invincibleinventor/falarapp/app/report/post/[slug]/page.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/invincibleinventor/falarapp/app/report/quickie/[slug]/page.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/invincibleinventor/falarapp/app/report/user/[slug]/page.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/invincibleinventor/falarapp/app/resume/[slug]/page.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/invincibleinventor/falarapp/app/search/bookmarks/[slug]/page.tsx", "TypeScript JSX", 0, 178, 0, 0, 0, 0, 0, 0, 2, 6, 186
"/Users/invincibleinventor/falarapp/app/search/people/[slug]/page.tsx", "TypeScript JSX", 0, 169, 0, 0, 0, 0, 0, 0, 2, 6, 177
"/Users/invincibleinventor/falarapp/app/search/posts/[slug]/page.tsx", "TypeScript JSX", 0, 165, 0, 0, 0, 0, 0, 0, 2, 8, 175
"/Users/invincibleinventor/falarapp/app/search/quickies/[slug]/page.tsx", "TypeScript JSX", 0, 201, 0, 0, 0, 0, 0, 0, 2, 10, 213
"/Users/invincibleinventor/falarapp/app/setupresume/layout.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/invincibleinventor/falarapp/app/setupresume/page.tsx", "TypeScript JSX", 0, 203, 0, 0, 0, 0, 0, 0, 0, 8, 211
"/Users/invincibleinventor/falarapp/app/stories/page.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 2, 1, 39
"/Users/invincibleinventor/falarapp/capacitor.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/invincibleinventor/falarapp/components/BookMarksComponent.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 13, 96
"/Users/invincibleinventor/falarapp/components/BookMarksMore.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 7, 97
"/Users/invincibleinventor/falarapp/components/ClientTime.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/invincibleinventor/falarapp/components/CommentComponent.tsx", "TypeScript JSX", 0, 162, 0, 0, 0, 0, 0, 0, 1, 9, 172
"/Users/invincibleinventor/falarapp/components/CommentsComponent.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 0, 0, 0, 0, 4, 146
"/Users/invincibleinventor/falarapp/components/Exports.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/invincibleinventor/falarapp/components/HeaderItem.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 52
